30,The Bridge on the River Kwai,2-Oct-57,0,161,PG,26,1,/imgs/river_kwai.jpg,,,,
31,Gigi,15-May-58,0,115,G,21,2,/imgs/gigi.jpg,,,,
32,Ben-Hur,18-Nov-59,1,212,G,13,4,/imgs/ben_hur.jpg,,,,
33,The Apartment,30-Jun-60,1,125,,16,5,/imgs/apartment.jpg,,,,
34,West Side Story,18-Oct-61,1,152,G,27,2,/imgs/west_side_story.jpg,,,,
35,Lawrence of Arabia,10-Dec-62,0,228,PG,26,4,/imgs/lawrence.jpg,,,,
36,Tom Jones,29-Sep-63,1,128,,28,6,/imgs/tom_jones.jpg,,,,
37,My Fair Lady,21-Oct-64,1,170,G,29,2,/imgs/my_fair_lady.jpg,,,,
38,The Sound of Music,2-Mar-65,1,174,G,27,2,/imgs/sound_music.jpg,,,,
39,A Man for All Seasons,12-Dec-66,0,120,G,23,4,/imgs/man_seasons.jpg,,,,
40,In the Heat of the Night,2-Aug-67,0,109,,30,8,/imgs/heat_night.jpg,,,,
41,Oliver!,26-Sep-68,0,153,G,31,2,/imgs/oliver.jpg,,,,
42,Midnight Cowboy,25-May-69,0,113,R,32,4,/imgs/midnight_cowboy.jpg,,,,
43,Patton,2-Apr-70,0,170,PG,33,1,/imgs/patton.jpg,,,,
44,The French Connection,7-Oct-71,0,104,R,34,7,/imgs/french_conn.jpg,,,,
45,The Godfather,24-Mar-72,0,177,R,35,8,/imgs/godfather.jpg,,,,
46,The Sting,25-Dec-73,0,129,R,36,8,/imgs/sting.jpg,,,,
47,The Godfather Part II,20-Dec-74,0,200,R,35,8,/imgs/godfather_2.jpg,,,,
48,One Flew Over the Cuckoo's Nest,19-Nov-75,0,133,R,37,4,/imgs/cuckoos_nest.jpg,,,,
49,Rocky,3-Dec-76,0,119,PG,38,4,/imgs/rocky.jpg,,,,
50,Annie Hall,20-Apr-77,1,93,PG,39,5,/imgs/annie_hall.jpg,,,,
51,The Deer Hunter,23-Feb-79,0,183,R,40,1,/imgs/deer_hunter.jpg,,,,
52,Kramer vs. Kramer,19-Dec-79,0,105,PG,41,4,/imgs/kramer.jpg,,,,
53,Ordinary People,19-Sep-80,0,124,R,42,4,/imgs/ord_peop.jpg,,,,
54,Chariots of Fire,15-May-81,0,124,PG,43,4,/imgs/chariots.jpg,,,,
55,Gandhi,3-Dec-82,0,191,PG,44,4,/imgs/gandhi.jpg,,,,
56,Terms of Endearment,9-Dec-83,1,132,PG,45,6,/imgs/terms_of_end.jpg,,,,
57,Amadeus,19-Sep-84,1,161,R,37,4,/imgs/amadeus.jpg,,,,
58,Out of Africa,18-Dec-85,1,161,PG,46,4,/imgs/out_africa.jpg,,,,
59,Platoon ,19-Dec-86,0,120,R,47,1,/imgs/platoon.jpg,,,,
60,The Last Emperor,26-Feb-88,1,163,PG-13,48,4,/imgs/last_emp.jpg,,,,
61,Rain Man,16-Dec-88,0,134,R,49,6,/imgs/rain_man.jpg,,,,
62,Driving Miss Daisy,15-Dec-89,1,100,PG,50,6,/imgs/miss_daisy.jpg,,,,
63,Dances with Wolves,9-Nov-90,0,181,PG-13,51,3,/imgs/dances_wolves.jpg,,,,
64,The Silence of the Lambs,14-Feb-91,1,118,R,52,9,/imgs/silence_lambs.jpg,,,,
65,Unforgiven,7-Aug-92,1,131,R,53,3,/imgs/unforgiven.jpg,,,,
66,Schindler's List,15-Dec-93,1,195,R,54,4,/imgs/schindler.jpg,,,,
67,Forrest Gump,6-Jul-94,0,142,PG-13,55,6,/imgs/forrest_gump.jpg,,,,
68,Braveheart,24-May-95,0,178,R,56,1,/imgs/braveheart.jpg,,,,
69,The English Patient,15-Nov-96,1,162,R,57,4,/imgs/eng_patient.jpg,,,,
70,Titanic,19-Dec-97,1,195,PG-13,58,4,/imgs/titanic.jpg,,,,
71,Shakespeare in Love,11-Dec-98,1,123,R,59,5,/imgs/shakespeare.jpg,,,,
72,American Beauty,15-Sep-99,1,122,R,60,4,/imgs/am_beauty.jpg,,,,
73,Gladiator,5-May-00,0,155,R,61,4,/imgs/gladiator.jpg,,,,
74,A Beautiful Mind,13-Dec-01,0,135,PG-13,62,4,/imgs/beaut_mind.jpg,,,,
75,Chicago,27-Dec-02,1,113,PG-13,63,2,/imgs/chicago.jpg,,,,
76,The Lord of the Rings: Return of the King,17-Dec-03,0,201,PG-13,64,10,/imgs/return_king.jpg,,,,
77,Million Dollar Baby,15-Dec-04,1,132,PG-13,53,4,/imgs/mill_baby.jpg,,,,
78,Crash,10-Sep-04,1,112,R,65,4,/imgs/crash.jpg,,,,
79,The Departed,6-Oct-06,0,151,R,66,8,/imgs/departed.jpg,,,,
80,No Country for Old Men,9-Nov-07,1,122,R,67,7,/imgs/no_country.jpg,,,,
81,Slumdog Millionaire,25-Dec-08,0,120,R,68,4,/imgs/slumdog.jpg,,,,
82,The Hurt Locker,26-Jun-09,0,131,R,69,1,/imgs/hurt_locker.jpg,,,,
83,The King's Speech,23-Dec-10,1,119,R,70,4,/imgs/kings_speech.jpg,,,,
84,The Artist,12-Oct-11,0,100,PG-13,71,4,/imgs/artist.jpg,,,,
85,Argo,12-Oct-12,1,120,R,72,4,/imgs/argo.jpg,,,,
