31,Gigi,1958-05-15,0,115,G,21,2,/imgs/gigi.jpg,,,,
32,Ben-Hur,1959-11-18,1,212,G,13,4,/imgs/ben_hur.jpg,,,,
33,The Apartment,1960-06-30,1,125,,16,5,/imgs/apartment.jpg,,,,
34,West Side Story,1961-10-18,1,152,G,27,2,/imgs/west_side_story.jpg,,,,
35,Lawrence of Arabia,1962-12-10,0,228,PG,26,4,/imgs/lawrence.jpg,,,,
36,Tom Jones,1963-09-29,1,128,,28,6,/imgs/tom_jones.jpg,,,,
37,My Fair Lady,1964-10-21,1,170,G,29,2,/imgs/my_fair_lady.jpg,,,,
38,The Sound of Music,1965-03-02,1,174,G,27,2,/imgs/sound_music.jpg,,,,
39,A Man for All Seasons,1966-12-12,0,120,G,23,4,/imgs/man_seasons.jpg,,,,
40,In the Heat of the Night,1967-08-02,0,109,,30,8,/imgs/heat_night.jpg,,,,
41,Oliver!,1968-09-26,0,153,G,31,2,/imgs/oliver.jpg,,,,
42,Midnight Cowboy,1969-05-25,0,113,R,32,4,/imgs/midnight_cowboy.jpg,,,,
43,Patton,1970-04-02,0,170,PG,33,1,/imgs/patton.jpg,,,,
44,The French Connection,1971-10-07,0,104,R,34,7,/imgs/french_conn.jpg,,,,
45,The Godfather,1972-03-24,0,177,R,35,8,/imgs/godfather.jpg,,,,
46,The Sting,1973-12-25,0,129,R,36,8,/imgs/sting.jpg,,,,
47,The Godfather Part II,1974-12-20,0,200,R,35,8,/imgs/godfather_2.jpg,,,,
48,One Flew Over the Cuckoo's Nest,1975-11-19,0,133,R,37,4,/imgs/cuckoos_nest.jpg,,,,
49,Rocky,1976-12-03,0,119,PG,38,4,/imgs/rocky.jpg,,,,
50,Annie Hall,1977-04-20,1,93,PG,39,5,/imgs/annie_hall.jpg,,,,
51,The Deer Hunter,1979-02-23,0,183,R,40,1,/imgs/deer_hunter.jpg,,,,
52,Kramer vs. Kramer,1979-12-19,0,105,PG,41,4,/imgs/kramer.jpg,,,,
53,Ordinary People,1980-09-19,0,124,R,42,4,/imgs/ord_peop.jpg,,,,
54,Chariots of Fire,1981-05-15,0,124,PG,43,4,/imgs/chariots.jpg,,,,
55,Gandhi,1982-12-03,0,191,PG,44,4,/imgs/gandhi.jpg,,,,
56,Terms of Endearment,1983-12-09,1,132,PG,45,6,/imgs/terms_of_end.jpg,,,,
57,Amadeus,1984-09-19,1,161,R,37,4,/imgs/amadeus.jpg,,,,
58,Out of Africa,1985-12-18,1,161,PG,46,4,/imgs/out_africa.jpg,,,,
59,Platoon ,1986-12-19,0,120,R,47,1,/imgs/platoon.jpg,,,,
60,The Last Emperor,1988-02-26,1,163,PG-13,48,4,/imgs/last_emp.jpg,,,,
61,Rain Man,1988-12-16,0,134,R,49,6,/imgs/rain_man.jpg,,,,
62,Driving Miss Daisy,1989-12-15,1,100,PG,50,6,/imgs/miss_daisy.jpg,,,,
63,Dances with Wolves,1990-11-09,0,181,PG-13,51,3,/imgs/dances_wolves.jpg,,,,
64,The Silence of the Lambs,1991-02-14,1,118,R,52,9,/imgs/silence_lambs.jpg,,,,
65,Unforgiven,1992-08-07,1,131,R,53,3,/imgs/unforgiven.jpg,,,,
66,Schindler's List,1993-12-15,1,195,R,54,4,/imgs/schindler.jpg,,,,
67,Forrest Gump,1994-07-06,0,142,PG-13,55,6,/imgs/forrest_gump.jpg,,,,
68,Braveheart,1995-05-24,0,178,R,56,1,/imgs/braveheart.jpg,,,,
69,The English Patient,1996-11-15,1,162,R,57,4,/imgs/eng_patient.jpg,,,,
70,Titanic,1997-12-19,1,195,PG-13,58,4,/imgs/titanic.jpg,,,,
71,Shakespeare in Love,1998-12-11,1,123,R,59,5,/imgs/shakespeare.jpg,,,,
72,American Beauty,1999-09-15,1,122,R,60,4,/imgs/am_beauty.jpg,,,,
73,Gladiator,2000-05-05,0,155,R,61,4,/imgs/gladiator.jpg,,,,
74,A Beautiful Mind,2001-12-13,0,135,PG-13,62,4,/imgs/beaut_mind.jpg,,,,
75,Chicago,2002-12-27,1,113,PG-13,63,2,/imgs/chicago.jpg,,,,
76,The Lord of the Rings: Return of the King,2003-12-17,0,201,PG-13,64,10,/imgs/return_king.jpg,,,,
77,Million Dollar Baby,2004-12-15,1,132,PG-13,53,4,/imgs/mill_baby.jpg,,,,
78,Crash,2004-09-10,1,112,R,65,4,/imgs/crash.jpg,,,,
79,The Departed,2006-10-06,0,151,R,66,8,/imgs/departed.jpg,,,,
80,No Country for Old Men,2007-11-09,1,122,R,67,7,/imgs/no_country.jpg,,,,
81,Slumdog Millionaire,2008-12-25,0,120,R,68,4,/imgs/slumdog.jpg,,,,
82,The Hurt Locker,2009-06-26,0,131,R,69,1,/imgs/hurt_locker.jpg,,,,
83,The King's Speech,2010-12-23,1,119,R,70,4,/imgs/kings_speech.jpg,,,,
84,The Artist,2011-10-12,0,100,PG-13,71,4,/imgs/artist.jpg,,,,
85,Argo,2012-10-12,1,120,R,72,4,/imgs/argo.jpg,,,,
86,12 Years a Slave,2013-11-08,1,134,R,73,4,/imgs/12_years.jpg,,,,
87,Birdman or: (The Unexpected Virtue of Ignorance) ,2014-10-17,1,119,R,74,4,/imgs/birdman.jpg,,,,
88,Spotlight,2015-11-06,0,129,R,75,4,/imgs/spotlight.jpg,,,,
89,Moonlight,2016-10-21,0,111,R,76,4,/imgs/moonlight.jpg,,,,
90,The Shape of Water,2017-12-01,1,123,R,77,4,/imgs/shape_water.jpg,,,,
91,Green Book,2018-11-21,0,130,PG-13,78,6,/imgs/green_book.jpg,,,,
92,Parasite,2019-05-30,1,132,R,79,7,/imgs/parasite.jpg,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
